pc,tool_1,version_1,contract,type,property
1028.0,securify,0,0xdc84953d7c6448e498eb3c33ab0f815da5d13999,Violation,RestrictedWrite
780.0,securify,0,0x5624eed6e0ebef05eb9edd4c24d5abc08e181e71,Safety,TimestampDepend
2981.0,securify,0,0xdcf14a9cba1d5ee6d4671c20c559373f331910ea,Safety,TimestampDepend
3630.0,securify,0,0xdcf14a9cba1d5ee6d4671c20c559373f331910ea,Safety,TimestampDepend
248.0,securify,0,0x993bbc77c48ca648659129602dd507a96bc5b561,Safety,TimestampDepend
298.0,securify,0,0x993bbc77c48ca648659129602dd507a96bc5b561,Safety,TimestampDepend
500.0,securify,0,0x993bbc77c48ca648659129602dd507a96bc5b561,Safety,TimestampDepend
547.0,securify,0,0x993bbc77c48ca648659129602dd507a96bc5b561,Safety,TimestampDepend
220.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
303.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
314.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
793.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
843.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
396.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
332.0,securify,0,0x3d5894b6801221bf296a2ac2d6ccf5ea09ce399a,Violation,RestrictedWrite
484.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Safety,TimestampDepend
536.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Safety,TimestampDepend
590.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Safety,TimestampDepend
946.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Safety,TimestampDepend
801.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Violation,RestrictedWrite
853.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Violation,RestrictedWrite
860.0,securify,0,0x488b7b5ed8ee6fa28c0cb3a0ee7351573070601d,Violation,RestrictedWrite
240.0,securify,0,0x51cfc0d9bcf4ba234d442e3200b97d660e02d41f,Safety,TimestampDepend
290.0,securify,0,0x51cfc0d9bcf4ba234d442e3200b97d660e02d41f,Safety,TimestampDepend
492.0,securify,0,0x51cfc0d9bcf4ba234d442e3200b97d660e02d41f,Safety,TimestampDepend
539.0,securify,0,0x51cfc0d9bcf4ba234d442e3200b97d660e02d41f,Safety,TimestampDepend
240.0,securify,0,0x408b8fBc19bB5FFfF7d5E5c430F765524FAE77c5,Safety,TimestampDepend
290.0,securify,0,0x408b8fBc19bB5FFfF7d5E5c430F765524FAE77c5,Safety,TimestampDepend
492.0,securify,0,0x408b8fBc19bB5FFfF7d5E5c430F765524FAE77c5,Safety,TimestampDepend
539.0,securify,0,0x408b8fBc19bB5FFfF7d5E5c430F765524FAE77c5,Safety,TimestampDepend
1953.0,securify,0,0xd8d4E59fabb7D8A1D013D577689cB612A8e5F826,Safety,TimestampDepend
2084.0,securify,0,0xd8d4E59fabb7D8A1D013D577689cB612A8e5F826,Safety,TimestampDepend
333.0,securify,0,0x89205a3a3b2a69de6dbf7f01ed13b2108b2c43e7,Violation,RestrictedWrite
597.0,securify,0,0x943bbeEf41460a3F0f3Ac7f7a062128ad0Ba9cB1,Safety,TimestampDepend
680.0,securify,0,0x943bbeEf41460a3F0f3Ac7f7a062128ad0Ba9cB1,Safety,TimestampDepend
252.0,securify,0,0x943bbeEf41460a3F0f3Ac7f7a062128ad0Ba9cB1,Violation,RestrictedWrite
891.0,securify,0,0x2f5cd5d797ec8868a5aaefd784ed2c5bc46a1a47,Violation,RestrictedWrite
