tool_1,contract,property,type,matches_1,count_1,tool_2,matches_2,count_2
securify,0x60f0ee673e413e1c134d1497eeecce8ddd2fdd74,RestrictedWrite,Violation,"[205.0, 1717.0, 1272.0, 1225.0]",4.0,horstify,"[1717.0, 1272.0, 205.0]",3.0
securify,0x6aC85d0408044AfB786a6d631d4D3426Ce0E031a,TimestampDepend,Safety,"[201.0, 404.0, 451.0, 876.0]",4.0,horstify,[201.0],1.0
securify,0xabea74917283a8662865894c7d6cfecafd85ceb6,TimestampDepend,Safety,"[300.0, 345.0, 397.0, 447.0, 494.0]",5.0,horstify,[300.0],1.0
securify,0x93c9cce56a35a5bba00501a8dcd6ea1392ff3dfd,TimestampDepend,Safety,"[917.0, 1074.0, 1117.0, 295.0]",4.0,horstify,"[1074.0, 917.0, 295.0]",3.0
securify,0x93c9cce56a35a5bba00501a8dcd6ea1392ff3dfd,RestrictedWrite,Violation,"[416.0, 369.0]",2.0,horstify,[416.0],1.0
securify,0x85c84c949b1c29c85b777f2873a19450dbb1a057,RestrictedWrite,Violation,"[494.0, 552.0, 635.0, 656.0, 667.0, 715.0, 734.0, 854.0, 864.0]",9.0,horstify,"[656.0, 552.0, 667.0, 635.0, 734.0, 494.0]",6.0
securify,0x9e2a68ed6b854e2e55433b5ec8f471c7b274df51,RestrictedWrite,Violation,"[578.0, 642.0, 653.0, 718.0, 755.0, 772.0, 780.0, 797.0]",8.0,horstify,"[642.0, 578.0, 653.0, 718.0]",4.0
securify,0x98f9e314a874e17c77e7ec24f228649f21a52368,TimestampDepend,Safety,"[2766.0, 2834.0, 240.0, 500.0, 667.0]",5.0,horstify,"[240.0, 500.0, 667.0, 2766.0]",4.0
securify,0x51170b18bcA7896B49c52Dcc18E66e5C921e100F,RestrictedWrite,Violation,"[383.0, 386.0, 465.0, 476.0, 809.0, 852.0, 859.0, 867.0, 1116.0, 1165.0]",10.0,horstify,"[465.0, 386.0, 809.0, 476.0, 383.0]",5.0
securify,0xE94b04a0FeD112f3664e45adb2B8915693dD5FF3,TimestampDepend,Safety,"[126.0, 172.0, 343.0, 390.0]",4.0,horstify,[126.0],1.0
securify,0x2a53F42aD8BbA138C21b50a4e5711f18381A61E9,RestrictedWrite,Violation,"[466.0, 530.0, 541.0, 624.0, 661.0, 670.0]",6.0,horstify,"[624.0, 530.0, 466.0, 541.0]",4.0
securify,0x5f0d0c4c159970fda5adc93a6b7f17706fd3255c,TimestampDepend,Safety,"[120.0, 176.0, 210.0]",3.0,horstify,[120.0],1.0
securify,0x75f398D5B9E92D17EE307268c28779DA26508F54,TimestampDepend,Safety,"[593.0, 664.0, 350.0, 422.0, 510.0]",5.0,horstify,"[593.0, 664.0]",2.0
securify,0x5e3741d9faa0f62660bdecdd3ac43c97c83a9881,RestrictedWrite,Violation,"[234.0, 1925.0, 1396.0, 1349.0]",4.0,horstify,"[1396.0, 1925.0, 234.0]",3.0
securify,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,TimestampDepend,Safety,"[248.0, 745.0, 869.0, 1021.0]",4.0,horstify,"[248.0, 745.0]",2.0
securify,0xe736091fc36f1ad476f5e4e03e4425940822d3ba,RestrictedWrite,Violation,"[636.0, 1084.0, 1098.0]",3.0,horstify,[636.0],1.0
securify,0x9e611784170b297091de56eb50162548d9b54d87,TimestampDepend,Safety,"[667.0, 1205.0]",2.0,horstify,[667.0],1.0
securify,0x9df71e0a7566f607eb03550331fbef13b61dc29f,TimestampDepend,Safety,"[163.0, 240.0, 290.0, 377.0, 492.0, 539.0]",6.0,horstify,"[163.0, 377.0]",2.0
